Number,Location,User,Tweet,Polarity,Subjectivity
1,Public: SpaceX,ziyazeyrekk,RT @elonmusk: @emin_adin @SpaceX Starlink is not approved by Turkish government yet. SpaceX can send as soon as approved.,0.0,0.0
2,Public: SpaceX,cbscanan,RT @elonmusk: @emin_adin @SpaceX Starlink is not approved by Turkish government yet. SpaceX can send as soon as approved.,0.0,0.0
3,Public: SpaceX,koyunkirpan0,RT @elonmusk: @emin_adin @SpaceX Starlink is not approved by Turkish government yet. SpaceX can send as soon as approved.,0.0,0.0
4,Public: SpaceX,Richard88338091,"@elonmusk @emin_adin @SpaceX Hey Tweety,
  Do you think you could drop off a few prefabbed airtight domes with oxygen supply on the moon?
  I mean, if making money is your goal, you could rent those things out for a million a month.",-0.256,0.394
5,Public: SpaceX,KimLeePritchar1,"RT @CBSNews: A “mysterious whirlpool” was spotted by the Subaru Telescope on Mauna Kea, Hawaii, on Wednesday. Some scientists speculated it…",0.0,1.0
6,Public: Elon Musk,Elon_Musk_II,RT @HewsonLari: @Claudiashein El señorito de Samuel muy sonriente mientras al estado lo tiene hecho un cochinero @samuel_garcias https://t.…,0.0,0.0
7,Public: Elon Musk,MR_Max75,"RT @CollinRugg: NEW: Elon Musk gives positive update on Twitter, says the company is trending towards breakeven.

Congrats @elonmusk! We ar…",0.21,0.5
8,Public: Elon Musk,yakup_tac,"RT @e_liff_gibi_sin: Bloomberg: 
""Türkiye, Elon Musk'ın Starlink uydu desteği teklifine teşekkür edip, Türksat'ın kapasitesinin yeterli old…",0.0,0.0
9,Public: Elon Musk,bengti0112,"RT @shengjie3016: This is unbelievable! Elon Musk has tweeted #OmegaNetwork's symbol 🤩
It'll go to skyrocket soon because of Elon Musk
If y…",-0.312,1.0
10,Public: Elon Musk,unclepatrick211,RT @duty2warn: “Federal authorities have no plans to open an investigation into Elon Musk’s purchase of Twitter with help from foreign inve…,-0.062,0.312
11,Home Timeline,UWaterloo,"Dr. Catherine Burns is the Chair in Human Factors in Health Care Systems and leads #UWaterloo’s health initiatives. We asked her how we can redesign our health systems to create better patient outcomes and more equitable access to care.

🔗https://t.co/jiD9XIu88i | #GlobalFutures https://t.co/e9ZbcHQqJe",0.333,0.367
12,Home Timeline,ht_9944,RT @Fillow___: @saffrl_ @JakeSucky just a shit black op- https://t.co/iUtQPcI08G,-0.183,0.617
13,Home Timeline,ht_9944,RT @ragedcan: @saffrl_ @JakeSucky Titanfalls movement is silky smooth compared to anything cod has ever put out. One of the best shooters e…,0.7,0.4
14,Home Timeline,ht_9944,RT @GTBato_: @saffrl_ @JakeSucky Even as a black ops 3 fan you do realize black ops 3 is basically titanfalls movement but much less respon…,-0.167,0.311
15,Home Timeline,ht_9944,RT @sidhant: Breaking: Indian PM Modi instructs all possible help to Turkiye in the aftermath of the deadly earthquake. Relief &amp; rescue tea…,-0.1,0.7
